Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
Ragin' Cajun (roller coaster),,Steel – Wild Mouse – Spinning,,,2004,,,,Zamperla,"1,377.9 ft (420.0 m)",42.7 ft (13.0 m),29.1 mph (46.8 km/h),0,,,,1:30,2.5,,,,,,,,,2004,,,Steel – Wild Mouse – Spinning,Zamperla,,Twister Coaster 420STD,Wild Mouse,Chain lift hill,42.7 ft (13.0 m),,"1,377.9 ft (420.0 m)",29.1 mph (46.8 km/h),1:30,,900 riders per hour,2.5,Ragin' Cajun (roller coaster),"On January 17, 2004, Six Flags Great America announced five new attractions and a whole new themed section called Mardi Gras, which included Ragin' Cajun. The newly themed section Mardi Gras transformed parts of the Orleans Place section. The newly family themed area opened on May 3, 2004, along with the park for the 2004 season. Ragin' Cajun opened later that month for the public on May 28, 2004.

On May 29, 2004, the day after opening of the new roller coaster, a 52-year-old Six Flags ride mechanic Jack Brouse of Zion, Illinois, was hit by one of Ragin' Cajun's car full of passengers as he was working along the tracks of the roller coaster. Suffering from a traumatic head injury, he died at Froedtert Hospital in Milwaukee.On August 29, 2013, Six Flags America announced that they would be adding a new Mardi Gras themed area for the 2014 season for their park. The area would include a roller coaster named, Ragin' Cajun and a Flying Scooters attraction called French Quarter Flyers. With no official announcement from Six Flags or Six Flags Great America, the Illinois Ragin' Cajun was removed after the 2013 season.
The new Mardi Gras section at Six Flags America which includes Ragin' Cajun, replaced the former Southwest Territory themed area. The rides in Southwest Territory including Wild One was rethemed to fit the new Mardi Gras theme.Ragin Cajun at Six Flags America was built on the former location of Two Face: The Flip Side that was removed from the park in 2007.
Mardi Gras opened with Six Flags America on opening day of the 2014 season. All rides excluding Ragin' Cajun opened on April 5, 2014.Six Flags America officially opened Ragin' Cajun on June 21, 2014.


== References ==","October 27, 2013",0,a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Two Face: The Flip Side,The Joker,
Ragin' Cajun (roller coaster),,Steel – Wild Mouse – Spinning,,,2014,,,,Zamperla,"1,377.9 ft (420.0 m)",42.7 ft (13.0 m),29.1 mph (46.8 km/h),0,,,,1:30,2.5,,,,,,,,,2014,,,Steel – Wild Mouse – Spinning,Zamperla,,Twister Coaster 420STD,Wild Mouse,Chain lift hill,42.7 ft (13.0 m),,"1,377.9 ft (420.0 m)",29.1 mph (46.8 km/h),1:30,,900 riders per hour,2.5,Ragin' Cajun (roller coaster),"On January 17, 2004, Six Flags Great America announced five new attractions and a whole new themed section called Mardi Gras, which included Ragin' Cajun. The newly themed section Mardi Gras transformed parts of the Orleans Place section. The newly family themed area opened on May 3, 2004, along with the park for the 2004 season. Ragin' Cajun opened later that month for the public on May 28, 2004.

On May 29, 2004, the day after opening of the new roller coaster, a 52-year-old Six Flags ride mechanic Jack Brouse of Zion, Illinois, was hit by one of Ragin' Cajun's car full of passengers as he was working along the tracks of the roller coaster. Suffering from a traumatic head injury, he died at Froedtert Hospital in Milwaukee.On August 29, 2013, Six Flags America announced that they would be adding a new Mardi Gras themed area for the 2014 season for their park. The area would include a roller coaster named, Ragin' Cajun and a Flying Scooters attraction called French Quarter Flyers. With no official announcement from Six Flags or Six Flags Great America, the Illinois Ragin' Cajun was removed after the 2013 season.
The new Mardi Gras section at Six Flags America which includes Ragin' Cajun, replaced the former Southwest Territory themed area. The rides in Southwest Territory including Wild One was rethemed to fit the new Mardi Gras theme.Ragin Cajun at Six Flags America was built on the former location of Two Face: The Flip Side that was removed from the park in 2007.
Mardi Gras opened with Six Flags America on opening day of the 2014 season. All rides excluding Ragin' Cajun opened on April 5, 2014.Six Flags America officially opened Ragin' Cajun on June 21, 2014.


== References ==","October 27, 2013",0,a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Two Face: The Flip Side,The Joker,
Revenge of the Mummy,,Steel – Launched – Enclosed,,,2004,,,,Premier Rides,,44.4 ft (13.5 m),40 mph (64 km/h),0,,,,2:57,,50°,,,,,,,,2004,,,Steel – Launched – Enclosed,Premier Rides,Universal Creative,,,Linear induction motors,44.4 ft (13.5 m),,,40 mph (64 km/h),2:57,50°,,,Revenge of the Mummy,"In 2002, Universal Parks & Resorts began planning the design of a dark ride based on the popular Mummy movie franchise. For construction to begin, Universal Studios Florida closed Kongfrontation on September 8, 2002, and Universal Studios Hollywood closed E.T. Adventure on March 14, 2003. On May 21, 2004, Revenge of the Mummy opened at Universal Studios Florida. The installation at Universal Studios Hollywood opened a month later on June 25, 2004.In December 2008, Resorts World Sentosa, which now encompasses Universal Studios Singapore, announced a Revenge of the Mummy ride would be built at the park, due to open in 2010. In contrast to the previous two installations, the one at Universal Studios Singapore was cheaper, reportedly costing only US$20 million instead of US$90 million. The ride officially opened on March 18, 2010.",,0,4 trains with 2 cars. Riders are arranged 4 across in 2 rows for a total of 16 riders per train.,,,
Revenge of the Mummy,,Steel – Launched – Enclosed,,,2010,,,,Premier Rides,,44.4 ft (13.5 m),40 mph (64 km/h),0,,,,2:57,,50°,,,,,,,,2010,,,Steel – Launched – Enclosed,Premier Rides,Universal Creative,,,Linear induction motors,44.4 ft (13.5 m),,,40 mph (64 km/h),2:57,50°,,,Revenge of the Mummy,"In 2002, Universal Parks & Resorts began planning the design of a dark ride based on the popular Mummy movie franchise. For construction to begin, Universal Studios Florida closed Kongfrontation on September 8, 2002, and Universal Studios Hollywood closed E.T. Adventure on March 14, 2003. On May 21, 2004, Revenge of the Mummy opened at Universal Studios Florida. The installation at Universal Studios Hollywood opened a month later on June 25, 2004.In December 2008, Resorts World Sentosa, which now encompasses Universal Studios Singapore, announced a Revenge of the Mummy ride would be built at the park, due to open in 2010. In contrast to the previous two installations, the one at Universal Studios Singapore was cheaper, reportedly costing only US$20 million instead of US$90 million. The ride officially opened on March 18, 2010.",,0,4 trains with 2 cars. Riders are arranged 4 across in 2 rows for a total of 16 riders per train.,,,
Silver Bullet (Knott's Berry Farm),Knott's Berry Farm,Steel – Inverted,,,2004,,,,Bolliger & Mabillard,"3,125 ft (952 m)",146 ft (45 m),55 mph (89 km/h),6,,,,2:30,3,40°,,,,,,,109 ft (33 m),2004,Knott's Berry Farm,Ghost Town,Steel – Inverted,Bolliger & Mabillard,,Inverted Coaster,,Chain lift,146 ft (45 m),109 ft (33 m),"3,125 ft (952 m)",55 mph (89 km/h),2:30,40°,1300 riders per hour,3,Silver Bullet (Knott's Berry Farm),"On May 28, 2003, a trademark for the name ""Silver Bullet"" was filed by Cedar Fair, the owners of the park. Construction for the new roller coaster began in September 2003 with the relocation of The Church of Reflections. As part of an $85 million investment in all Cedar Fair parks, Silver Bullet was announced to the public on December 1, 2003. The final piece of track was installed on September 30, 2004. On November 5, 2004, Knott's Berry Farm launched a ""First Rider Auction"" in which people from anywhere in the world would bid against each other in order to be one of the first public riders on Silver Bullet on December 7, 2004. Although sixty seats were made available, only 13 of these received bids. Out of those bids, the highest bid was $200 (US), and a total of $1643 was raised with all the money going to the Speech & Language Development Center of Buena Park. After construction and testing was completed, the roller coaster opened first to the media, then to the public on December 7, 2004 though the initial scheduled opening was on Christmas Eve of 2004. Silver Bullet was also one of four attractions that opened at Knott's Berry Farm in the same year and carries a western theme.",,6,3 (max. 2 in operation) trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,
Steel Dragon (Waldameer),Waldameer Park,Steel – Spinning,,,2004,,,,Maurer AG,"1,391 ft (424 m)",51 ft (16 m),37.3 mph (60.0 km/h),0,,,,1:24,,50°,,,,,,,,2004,Waldameer Park,,Steel – Spinning,Maurer AG,,,,Chain,51 ft (16 m),,"1,391 ft (424 m)",37.3 mph (60.0 km/h),1:24,50°,,,Steel Dragon (Waldameer),Steel Dragon opened to the public in 2004. It has been in continuous operation since opening.,,0,,,,
Super Grover's Box Car Derby,,Steel,,,2004,,,,Zierer,800 ft (240 m),,28 mph (45 km/h),0,,,,,,,,,,,,,,2004,,Sesame Street Land,Steel,Zierer,Ing.-Büro Stengel GmbH,,,,,,800 ft (240 m),28 mph (45 km/h),,,,,Super Grover's Box Car Derby,History section not found,,0,Single train with 14 cars. Riders are arranged 2 across in a single row for a total of 28 riders per train.,,,
Super Grover's Box Car Derby,,Steel,,,2006,,,,Zierer,800 ft (240 m),,28 mph (45 km/h),0,,,,,,,,,,,,,,2006,,Sesame Street Land,Steel,Zierer,Ing.-Büro Stengel GmbH,,,,,,800 ft (240 m),28 mph (45 km/h),,,,,Super Grover's Box Car Derby,History section not found,,0,Single train with 14 cars. Riders are arranged 2 across in a single row for a total of 28 riders per train.,,,
Super Grover's Box Car Derby,,Steel,,,2019,,,,Zierer,800 ft (240 m),,28 mph (45 km/h),0,,,,,,,,,,,,,,2019,,Sesame Street Land,Steel,Zierer,Ing.-Büro Stengel GmbH,,,,,,800 ft (240 m),28 mph (45 km/h),,,,,Super Grover's Box Car Derby,History section not found,,0,Single train with 14 cars. Riders are arranged 2 across in a single row for a total of 28 riders per train.,,,
Super Grover's Box Car Derby,,Steel,,,2022,,,,Zierer,800 ft (240 m),,28 mph (45 km/h),0,,,,,,,,,,,,,,2022,,Sesame Street Land,Steel,Zierer,Ing.-Büro Stengel GmbH,,,,,,800 ft (240 m),28 mph (45 km/h),,,,,Super Grover's Box Car Derby,History section not found,,0,Single train with 14 cars. Riders are arranged 2 across in a single row for a total of 28 riders per train.,,,
Superman El Último Escape,Six Flags México,Steel,,,2004,,,,D. H. Morgan Manufacturing,"5,577.4 ft (1,700.0 m)",219.8 ft (67.0 m),74.6 mph (120.1 km/h),0,,,,3:04,,60°,,,,,,,205 ft (62 m),2004,Six Flags México,Pueblo Mexicano,Steel,D. H. Morgan Manufacturing,,Hypercoaster,Out and Back,Chain,219.8 ft (67.0 m),205 ft (62 m),"5,577.4 ft (1,700.0 m)",74.6 mph (120.1 km/h),3:04,60°,"1,600 riders per hour",,Superman El Último Escape,"Superman El Último Escape was originally supposed to be open in 2002, but this was delayed when construction stopped during a two-year dispute between Six Flags and the Mexican government. Work resumed in 2004 and the ride opened on November 19 of that year.Upon its opening, Superman El Último Escape set records for the tallest, fastest and longest roller coaster in Latin America.On December 28, 2020, the Park's Twitter account said that the ride would close-down permanently. This was later revealed to be a prank for the Mexican Day of the Holy Innocents.",,0,3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,,,
Thunderhead (roller coaster),Dollywood,Wood,,,2004,,,,Great Coasters International,"3,230 ft (980 m)",100.4 ft (30.6 m),53.7 mph (86.4 km/h),0,,,,2:30,,60°,,,,,,,100 ft (30 m),2004,Dollywood,Timber Canyon,Wood,Great Coasters International,Mike Boodley,,Twister roller coaster,Chain lift hill,100.4 ft (30.6 m),100 ft (30 m),"3,230 ft (980 m)",53.7 mph (86.4 km/h),2:30,60°,,,Thunderhead (roller coaster),"On June 26, 2003, Dollywood unveiled plans for a third coaster addition to the park called Thunderhead for the 2004 season, following Tennessee Tornado, which opened in 1999. Thunderhead officially opened to the public on April 3, 2004.The ride was named after Thunderhead Mountain, a peak within the nearby Great Smoky Mountains National Park that was heavily logged during the early 19th century. Thunderhead is a slang term in the American South for Cumulonimbus clouds.",,0,12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,
Time Warp (roller coaster),Canada's Wonderland,Steel,,,2004,,,,Zamperla,"390.99 m (1,282.8 ft)",15.3 m (50 ft),41.4 km/h (25.7 mph),2,,,,1:04,,,,,,,,,,2004,Canada's Wonderland,Grande World Exposition of 1890,Steel,Zamperla,Ingenieur Büro Stengel GmbH,,,Spiral Lift,15.3 m (50 ft),,"390.99 m (1,282.8 ft)",41.4 km/h (25.7 mph),1:04,,,,Time Warp (roller coaster),History section not found,,2,7 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,,,
Typhoon (Bobbejaanland),Bobbejaanland,Steel – Euro-Fighter,,,2004,,,,Gerstlauer,"670 m (2,200 ft)",25.7 m (84 ft),80 km/h (50 mph),4,,,,1:30,5,97°,,,,,,,,2004,Bobbejaanland,Land of Legends,Steel – Euro-Fighter,Gerstlauer,Werner Stengel,,,Vertical chain lift hill,25.7 m (84 ft),,"670 m (2,200 ft)",80 km/h (50 mph),1:30,97°,1400 riders per hour,5,Typhoon (Bobbejaanland),"Constructed by the German roller coaster manufacturer Gerstlauer, Typhoon opened on 10 April 2004 and was built to replace the Looping Star roller coaster at Bobbejaanland. Typhoon was the most popular roller coaster in the park as of 2010.",,4,,,,
WhirlWind (Seabreeze),Seabreeze Amusement Park,Steel – Spinning,,,2004,,,,Maurer AG,"1,391 ft (424 m)",50.8 ft (15.5 m),37.3 mph (60.0 km/h),0,,,,1:10,,50°,,,,,,,,2004,Seabreeze Amusement Park,,Steel – Spinning,Maurer AG,Maurer Söhne,Xtended SC 2000,Steel,Chain,50.8 ft (15.5 m),,"1,391 ft (424 m)",37.3 mph (60.0 km/h),1:10,50°,930 riders per hour,,WhirlWind (Seabreeze),"The WhirlWind was manufactured in 2000 and originally operated as a traveling roller coaster. Whirlwind previously traveled Spain with Family Fraguas. It was painted orange and silver and operated under the name ""Cyber Space"" (different from the one that traveled Germany with Bruch and Kaiser). Before arriving at Seabreeze it was repainted blue and yellow (the same colors as the Spinning Racer that travels with Angela and Oscar Bruch).


== References ==",,0,,,,
Atlantica SuperSplash,Europa-Park,Steel,,,2005,,,,Mack Rides,"390 m (1,280 ft)",30 m (98 ft),80 km/h (50 mph),,,,,3:20,4,50°,,,,,,,30 m (98 ft),2005,Europa-Park,Portugal,Steel,Mack Rides,,SuperSplash,,,30 m (98 ft),30 m (98 ft),"390 m (1,280 ft)",80 km/h (50 mph),3:20,50°,"1,400 riders per hour",4,Atlantica SuperSplash,History section not found,,,,,,
Backlot Stunt Coaster,,Steel – Launched,,,2005,,,,Premier Rides,"1,960 ft (600 m)",45.2 ft (13.8 m),40 mph (64 km/h),0,,,,1:04,,,,,,,,,31.2 ft (9.5 m),2005,,,Steel – Launched,Premier Rides,Werner Stengel,,,LIM Launch Track,45.2 ft (13.8 m),31.2 ft (9.5 m),"1,960 ft (600 m)",40 mph (64 km/h),1:04,,1000 riders per hour,,Backlot Stunt Coaster,"The Italian Job: Stunt Track was announced by Kings Island and Canada's Wonderland on August 12, 2004. It replaced the Lex Taxis antique car ride at Kings Island. The ride opened at Kings Island for previews on April 29, 2005, followed by its grand opening several weeks later on May 20. It opened at Canada's Wonderland on May 1, 2005. On October 12, 2005, Kings Dominion announced they would be adding a clone of Italian Job: Stunt Coaster but with a slightly different name, Italian Job: Turbo Coaster. It opened on May 27, 2006. The ride at Kings Dominion replaced the Diamond Falls shoot-the-chute ride.
At the end of the 2007 season, all three Italian Job coasters were renamed to Backlot Stunt Coaster for the start of the 2008 season. The name change was part of a wider effort by Cedar Fair to remove Paramount themes from the chain of parks the company acquired in 2006 from Paramount Parks. Special effects throughout the ride were modified to remove references to the movie, generalizing the overall theme.",,0,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,
Backlot Stunt Coaster,,Steel – Launched,,,2006,,,,Premier Rides,"1,960 ft (600 m)",45.2 ft (13.8 m),40 mph (64 km/h),0,,,,1:04,,,,,,,,,31.2 ft (9.5 m),2006,,,Steel – Launched,Premier Rides,Werner Stengel,,,LIM Launch Track,45.2 ft (13.8 m),31.2 ft (9.5 m),"1,960 ft (600 m)",40 mph (64 km/h),1:04,,1000 riders per hour,,Backlot Stunt Coaster,"The Italian Job: Stunt Track was announced by Kings Island and Canada's Wonderland on August 12, 2004. It replaced the Lex Taxis antique car ride at Kings Island. The ride opened at Kings Island for previews on April 29, 2005, followed by its grand opening several weeks later on May 20. It opened at Canada's Wonderland on May 1, 2005. On October 12, 2005, Kings Dominion announced they would be adding a clone of Italian Job: Stunt Coaster but with a slightly different name, Italian Job: Turbo Coaster. It opened on May 27, 2006. The ride at Kings Dominion replaced the Diamond Falls shoot-the-chute ride.
At the end of the 2007 season, all three Italian Job coasters were renamed to Backlot Stunt Coaster for the start of the 2008 season. The name change was part of a wider effort by Cedar Fair to remove Paramount themes from the chain of parks the company acquired in 2006 from Paramount Parks. Special effects throughout the ride were modified to remove references to the movie, generalizing the overall theme.",,0,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,
Bat (Lagoon),Lagoon Amusement Park,Steel – Inverted,,,2005,,,,Vekoma,"342 m (1,122 ft)",14.8 m (49 ft),,0,,,,1:30 mins,2.2,,,,,,,,,2005,Lagoon Amusement Park,,Steel – Inverted,Vekoma,,Suspended Family Coaster (342m),Inverted,,14.8 m (49 ft),,"342 m (1,122 ft)",,1:30 mins,,650 riders per hour,2.2,Bat (Lagoon),"The Bat debuted at Lagoon Amusement Park on April 16, 2005. Lagoon had hoped to open the Bat on the opening day of the 2005 season on April 9, but the opening was delayed a week. It was built on the site of the Lake Park Terrace, a pavilion moved to Lagoon from the park's original location on the shore of the Great Salt Lake. The Terrace was removed on October 12, 2004, to make room for the new roller coaster, as the structure's deterioration had passed the point of feasible maintenance. It was one of four roller coasters added to the park in a 10-year span, and the first to use a magnetic braking system. The Bat was the third 'family-friendly' ride, allowing both adults and children, to be installed in the park, following the Kontiki and Dragon Fly flat rides installed in 2004. The ride was also the first inverted roller coaster for the park.",,0,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,
Cobra (PowerPark),"PowerPark, Alahärmä, Kauhava, Finland",Steel – Shuttle,,,2005,,,,RCS GmbH,935 ft (285 m),35.5 m (116 ft),47 mph (76 km/h),3,,,,1:48,5.2,,,,,,,,,2005,"PowerPark, Alahärmä, Kauhava, Finland",,Steel – Shuttle,RCS GmbH,Vekoma,Boomerang,,,35.5 m (116 ft),,935 ft (285 m),47 mph (76 km/h),1:48,,760 riders per hour,5.2,Cobra (PowerPark),History section not found,,3,,,,
Fairly Odd Coaster (Carowinds),Carowinds,Wood,,,2005,,,,Philadelphia Toboggan Coasters,"1,356 ft (413 m)",40 ft (12 m),36 mph (58 km/h),0,,,,1:00,,,,,,,,,35 ft (11 m),2005,Carowinds,Camp Snoopy,Wood,Philadelphia Toboggan Coasters,John C. Allen,144a,,Chain Lift,40 ft (12 m),35 ft (11 m),"1,356 ft (413 m)",36 mph (58 km/h),1:00,,1250 riders per hour,,Fairly Odd Coaster (Carowinds),"It opened as ""Scooby Doo"" in 1975, loosely themed to the Hanna-Barbera cartoon of the same name in the Happy Land of Hanna-Barbera. Shortly before the park's 1993 season, the name was expanded to ""Scooby-Doo's Ghoster Coaster"".  
In 1993, Paramount Parks bought Carowinds' parent company and added areas themed to the Nickelodeon television channel, owned by their parent company Viacom.  As part of this, the Hanna-Barbera area was eventually annexed into the Nickelodeon Central area, and in 2005, the roller coaster was renamed ""Fairly Odd Coaster"".
As part of the new theming, the wooden superstructure was painted indigo, and the cars repainted to mimic the Fairy Oddparents characters from the show; one train pink and the other green, with the fairies' faces on the front of the cars. To depict these characters as roller coaster trains is accurate to the television show because on screen, the fairies can change their shape at will, though their faces always remain visible on whatever they become.
The coaster was renamed Woodstock Express in 2010 when the area was rethemed as Planet Snoopy.  In 2015, Woodstock Express was repainted periwinkle with yellow side-rails.",,0,,,,
Frankie's Mine Train,,Steel – Junior,,,2005,,,,Zamperla,262.5 ft (80.0 m),13 ft (4.0 m),,,,,,,,,,,,,,,,2005,,,Steel – Junior,Zamperla,,Family Gravity Coaster 80STD,,Chain lift hill,13 ft (4.0 m),,262.5 ft (80.0 m),,,,,,Frankie's Mine Train,History section not found,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Wild Kitty,,
Frankie's Mine Train,,Steel – Junior,,,2019,,,,Zamperla,262.5 ft (80.0 m),13 ft (4.0 m),,,,,,,,,,,,,,,,2019,,,Steel – Junior,Zamperla,,Family Gravity Coaster 80STD,,Chain lift hill,13 ft (4.0 m),,262.5 ft (80.0 m),,,,,,Frankie's Mine Train,History section not found,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Wild Kitty,,
G Force (roller coaster),Drayton Manor Resort,,,,2005,,,,Maurer AG,"1,263 ft (385 m)",82 ft (25 m),43.5 mph (70.0 km/h),3,,,,0:45,4.3,360°,,,,,,,,2005,Drayton Manor Resort,,,Maurer AG,,HBX 2000,,,82 ft (25 m),,"1,263 ft (385 m)",43.5 mph (70.0 km/h),0:45,360°,1100 riders per hour,4.3,G Force (roller coaster),History section not found,Oct-18,3,2 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,,,
Herky and Timmy's Racing Coaster,Everland,Steel – Family,,,2005,,,,,"1,030.2 ft (314.0 m)",,,0,,,,1.02 min,,,,,,,,,,2005,Everland,Magic Land - Aesop's Village,Steel – Family,,Vekoma,Junior Coaster,,,,,"1,030.2 ft (314.0 m)",,1.02 min,,,,Herky and Timmy's Racing Coaster,"In February 2005, Everland started developing its Aesop's Village section, which is a children's zone with themes referencing Aesop's Fables. The section was created to celebrate the 30th anniversary of Everland, which would be the following year. Aesop Village was set to be finished around October 1 the same year. In September the same year, Herky and Timmy's Racing Coaster, which was set to be themed after The Tortoise and the Hare, was revealed. The roller coaster opened on October 1 along with the rest of Aesop's Village. The coaster was designed by Stefan Holtman and constructed by Vekoma.",,0,,,,
Italian Job: Stunt Track (Canada's Wonderland),,Steel – Launched,,,2005,,,,Premier Rides,"1,960 ft (600 m)",45.2 ft (13.8 m),40 mph (64 km/h),0,,,,1:04,,,,,,,,,31.2 ft (9.5 m),2005,,,Steel – Launched,Premier Rides,Werner Stengel,,,LIM Launch Track,45.2 ft (13.8 m),31.2 ft (9.5 m),"1,960 ft (600 m)",40 mph (64 km/h),1:04,,1000 riders per hour,,Italian Job: Stunt Track (Canada's Wonderland),"The Italian Job: Stunt Track was announced by Kings Island and Canada's Wonderland on August 12, 2004. It replaced the Lex Taxis antique car ride at Kings Island. The ride opened at Kings Island for previews on April 29, 2005, followed by its grand opening several weeks later on May 20. It opened at Canada's Wonderland on May 1, 2005. On October 12, 2005, Kings Dominion announced they would be adding a clone of Italian Job: Stunt Coaster but with a slightly different name, Italian Job: Turbo Coaster. It opened on May 27, 2006. The ride at Kings Dominion replaced the Diamond Falls shoot-the-chute ride.
At the end of the 2007 season, all three Italian Job coasters were renamed to Backlot Stunt Coaster for the start of the 2008 season. The name change was part of a wider effort by Cedar Fair to remove Paramount themes from the chain of parks the company acquired in 2006 from Paramount Parks. Special effects throughout the ride were modified to remove references to the movie, generalizing the overall theme.",,0,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,
Italian Job: Stunt Track (Kings Island),,Steel – Launched,,,2005,,,,Premier Rides,"1,960 ft (600 m)",45.2 ft (13.8 m),40 mph (64 km/h),0,,,,1:04,,,,,,,,,31.2 ft (9.5 m),2005,,,Steel – Launched,Premier Rides,Werner Stengel,,,LIM Launch Track,45.2 ft (13.8 m),31.2 ft (9.5 m),"1,960 ft (600 m)",40 mph (64 km/h),1:04,,1000 riders per hour,,Italian Job: Stunt Track (Kings Island),"The Italian Job: Stunt Track was announced by Kings Island and Canada's Wonderland on August 12, 2004. It replaced the Lex Taxis antique car ride at Kings Island. The ride opened at Kings Island for previews on April 29, 2005, followed by its grand opening several weeks later on May 20. It opened at Canada's Wonderland on May 1, 2005. On October 12, 2005, Kings Dominion announced they would be adding a clone of Italian Job: Stunt Coaster but with a slightly different name, Italian Job: Turbo Coaster. It opened on May 27, 2006. The ride at Kings Dominion replaced the Diamond Falls shoot-the-chute ride.
At the end of the 2007 season, all three Italian Job coasters were renamed to Backlot Stunt Coaster for the start of the 2008 season. The name change was part of a wider effort by Cedar Fair to remove Paramount themes from the chain of parks the company acquired in 2006 from Paramount Parks. Special effects throughout the ride were modified to remove references to the movie, generalizing the overall theme.",,0,3 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,
Matugani,,Steel – Launched,,,2005,,,,Intamin,"1,444 ft (440 m)",79 ft (24 m),47 mph (76 km/h),2,,,,1 min 13 sec,,90°,,,,,,,,2005,,Yuta Earth Tribe,Steel – Launched,Intamin,Werner Stengel,Accelerator Coaster,,Hydraulic Launch,79 ft (24 m),,"1,444 ft (440 m)",47 mph (76 km/h),1 min 13 sec,90°,930 riders per hour,,Matugani,,"December 30, 2016",2,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,Valkyria,
Matugani,,Steel – Launched,,,2023,,,,Intamin,"1,444 ft (440 m)",79 ft (24 m),47 mph (76 km/h),2,,,,1 min 13 sec,,90°,,,,,,,,2023,,Yuta Earth Tribe,Steel – Launched,Intamin,Werner Stengel,Accelerator Coaster,,Hydraulic Launch,79 ft (24 m),,"1,444 ft (440 m)",47 mph (76 km/h),1 min 13 sec,90°,930 riders per hour,,Matugani,,"December 30, 2016",2,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,Valkyria,
